gene_symbol	ACD	ACN	ALO
A1BG	45.644	61.417	65.780
A1BG-AS	38.178	34.519	86.360
A1CF	23.611	23.415	15.680
A2LD1	30.439	36.945	28.000
A2M	919.756	927.875	617.080
A2ML1	44.817	135.814	127.880
A4GALT	93.844	99.332	130.700
A4GNT	19.144	19.243	14.720
AAA1	16.689	13.967	12.740
AAAS	160.067	138.675	137.480
AACS	543.811	911.916	504.800
AACSP1	11.456	12.183	17.240
AADAC	58.478	133.785	29.480
AADACL2	147.900	368.979	169.800
AADAT	46.700	44.646	29.260
AAGAB	130.400	122.546	65.873
AAK1	129.149	94.255	95.589
AAMP	398.911	399.929	174.320
AANAT	12.900	15.763	22.540
AARS	545.556	445.128	246.520
AARS2	123.494	136.933	164.950
AARSD1	82.589	74.718	58.450
AASDH	134.961	169.155	79.590
AASDHPPT	175.493	375.533	170.007
AASS	36.167	44.346	85.670
AATF	450.967	349.302	204.900
AATK	140.456	152.429	33.960
ABAT	43.756	61.755	51.407
ABCA1	181.456	311.994	156.670
ABCA11P	47.733	42.562	23.720
ABCA12	97.944	265.950	167.120
ABCA13	8.867	14.290	21.093
ABCA17P	19.467	19.987	15.260
ABCA2	47.778	50.376	108.253
ABCA3	94.344	108.520	103.880
ABCA4	26.494	40.709	46.700
ABCA5	197.661	87.351	80.390
ABCA6	50.211	68.969	106.000
ABCA7	86.344	100.766	144.960
ABCA8	138.767	256.648	76.307
ABCA9	33.741	35.593	53.380
ABCB1	26.283	25.685	26.690
ABCB1 /// ABCB4	72.556	62.358	118.620
ABCB10	158.444	200.284	77.840
ABCB11	14.783	13.806	12.760
ABCB4	30.178	26.728	24.520
ABCB5	16.939	17.617	13.045
ABCB6	77.239	73.512	193.600
ABCB7	194.133	270.144	217.120
ABCB8	52.939	53.803	38.130
ABCB9	35.111	27.857	29.867
ABCC1	259.150	270.203	286.680
ABCC10	173.372	128.234	121.100
ABCC11	22.300	18.951	19.050
ABCC12	13.044	13.190	25.820
ABCC13	15.458	13.138	14.165
ABCC2	28.811	23.509	36.900
ABCC3	75.816	66.340	65.964
ABCC4	37.158	45.775	27.865
ABCC5	95.385	70.796	54.713
ABCC6	20.233	24.085	31.033
ABCC6P1	12.111	10.816	10.020
ABCC8	33.900	34.223	68.970
ABCC9	18.111	20.129	24.032
ABCD1	39.589	34.120	32.020
ABCD2	9.222	8.358	9.100
ABCD3	408.889	533.681	412.920
ABCD4	107.067	87.827	43.680
ABCE1	423.694	390.615	385.410
ABCF1	393.711	390.101	299.960
ABCF2	142.800	123.319	283.010
ABCF3	159.122	170.083	102.780
ABCG1	70.139	123.723	103.850
ABCG2	24.667	37.256	21.940
ABCG4	37.400	43.046	33.200
ABCG5	13.100	13.262	13.880
ABCG8	18.667	18.428	13.040
ABHD1	30.144	27.119	20.027
ABHD10	160.489	182.014	128.010
ABHD11	95.748	93.819	95.080
ABHD12	171.378	281.303	189.500
ABHD12B	16.067	57.356	61.010
ABHD13	26.172	39.720	43.780
