	CNTR_R1	CNTR_R2	D14_R1	D14_R2	D21_R1	D21_R2	D7_R1	D7_R2
CHRNA1	0.621667	0.946676	0.666927	0.835294	0.496396	0.295055	0.281241	0.565204
HS3ST2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
SPP1	3.378171	3.434013	3.979887	4.044660	3.919186	3.766482	3.786789	3.704027
ADORA3	0.989361	1.314107	1.042261	1.407284	1.202843	1.030467	1.042184	1.253793
GPR34	0.254350	0.000000	0.450586	1.014940	0.315566	0.689370	0.000000	0.000000
APOC1	0.000000	0.000000	1.076754	0.962901	0.496396	0.989185	0.744651	1.033692
SCIN	2.449102	2.454405	2.177304	2.157116	2.019544	2.056257	2.212568	2.240434
DNASE2B	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
TREM2	1.185579	1.255189	2.442576	2.766566	2.380660	2.486316	2.080373	2.043976
PLD3	3.563039	3.563694	3.648880	3.586348	3.789395	3.817979	3.672051	3.718554
ATP6V0D2	0.413696	0.000000	1.955626	1.970027	1.813477	1.857363	1.846520	1.776991
RARRES1	1.084453	1.285646	2.254244	2.160637	2.019544	1.942345	1.879067	1.869843
DFNA5	1.695194	1.644882	1.904527	1.911923	1.867049	1.728551	1.752554	1.699259
ACP5	1.472209	1.559913	2.205316	2.290062	1.967802	2.380713	1.438012	1.294947
AMDHD1	0.000000	0.363128	0.281282	0.000000	0.000000	0.295055	0.000000	0.276810
SDS	0.530014	0.692166	1.108707	1.103376	1.202843	1.243916	1.283715	1.483159
CAPG	3.504076	3.512052	3.430428	3.548713	3.387095	3.352523	3.279852	3.292773
CPM	0.817782	0.692166	1.283795	1.239612	1.230987	1.164870	1.217103	1.129729
PSAP	4.231330	4.212589	4.432861	4.410457	4.552671	4.611661	4.540016	4.553350
MSR1	1.207566	1.059162	2.035466	2.274157	2.069742	2.226083	1.904443	1.875037
CAPN3	0.254350	0.000000	0.281282	0.903768	0.000000	0.295055	0.450531	0.444518
LPL	3.047840	2.897285	3.756560	3.702587	3.690975	3.722529	3.808042	3.787662
SLC38A6	1.846757	1.830452	2.161226	2.171031	2.041169	1.937494	2.042614	1.954973
