"","CNTR_R1","CNTR_R2","D7_R1","D7_R2","D14_R2","D21_R1","D14_R1","D21_R2"
"PSAP",4.23133,4.212589,4.540016,4.55335,4.410457,4.552671,4.432861,4.611661
"CAPG",3.504076,3.512052,3.279852,3.292773,3.548713,3.387095,3.430428,3.352523
"LPL",3.04784,2.897285,3.808042,3.787662,3.702587,3.690975,3.75656,3.722529
"SPP1",3.378171,3.434013,3.786789,3.704027,4.04466,3.919186,3.979887,3.766482
"PLD3",3.563039,3.563694,3.672051,3.718554,3.586348,3.789395,3.64888,3.817979
"AMDHD1",0,0.363128,0,0.27681,0,0,0.281282,0.295055
"HS3ST2",0,0,0,0,0,0,0,0
"DNASE2B",0,0,0,0,0,0,0,0
"APOC1",0,0,0.744651,1.033692,0.962901,0.496396,1.076754,0.989185
"CHRNA1",0.621667,0.946676,0.281241,0.565204,0.835294,0.496396,0.666927,0.295055
"GPR34",0.25435,0,0,0,1.01494,0.315566,0.450586,0.68937
"CAPN3",0.25435,0,0.450531,0.444518,0.903768,0,0.281282,0.295055
"SCIN",2.449102,2.454405,2.212568,2.240434,2.157116,2.019544,2.177304,2.056257
"TREM2",1.185579,1.255189,2.080373,2.043976,2.766566,2.38066,2.442576,2.486316
"RARRES1",1.084453,1.285646,1.879067,1.869843,2.160637,2.019544,2.254244,1.942345
"MSR1",1.207566,1.059162,1.904443,1.875037,2.274157,2.069742,2.035466,2.226083
"ACP5",1.472209,1.559913,1.438012,1.294947,2.290062,1.967802,2.205316,2.380713
"DFNA5",1.695194,1.644882,1.752554,1.699259,1.911923,1.867049,1.904527,1.728551
"SLC38A6",1.846757,1.830452,2.042614,1.954973,2.171031,2.041169,2.161226,1.937494
"ATP6V0D2",0.413696,0,1.84652,1.776991,1.970027,1.813477,1.955626,1.857363
"ADORA3",0.989361,1.314107,1.042184,1.253793,1.407284,1.202843,1.042261,1.030467
"SDS",0.530014,0.692166,1.283715,1.483159,1.103376,1.202843,1.108707,1.243916
"CPM",0.817782,0.692166,1.217103,1.129729,1.239612,1.230987,1.283795,1.16487
