GENE	CNTR_R1	CNTR_R2	D14_R1	D14_R2	D21_R1	D21_R2	D7_R1	D7_R2
0610005C13Rik	0	0	46.46575119	35.06246612	16.02109316	19.45344572	10.02006199	10.69817827
0610007P14Rik	0	0	0	0	0	0	0	0
0610009B22Rik	23.08929147	18.30396266	41.91028539	42.07495935	50.19942523	47.660942	35.52567431	32.98604966
0610009L18Rik	802.551924	763.5367283	966.6698433	1214.330077	842.7095001	782.0285178	727.8208661	817.5191228
0610009O20Rik	0	0	0	3.506246612	0	0.972672286	0.910914726	0
0610010B08Rik	1370.230021	1506.154642	2227.622778	1818.573243	2770.581043	3025.983481	3149.032208	3185.38258
0610010F05Rik	155.2555805	162.1208122	717.9414105	871.8866575	566.0786249	504.8169163	511.0231613	576.8101117
0610010K14Rik	0	0	0	0	1.068072877	0	0	0
0610011F06Rik	4.777094786	6.537129523	21.86623585	17.53123306	21.36145754	19.45344572	5.465488356	11.58969313
0610012G03Rik	0.796182464	0	0	1.168748871	0	0	0	0
0610030E20Rik	371.8172108	320.3193466	355.3263326	358.8059033	357.8044139	319.0365097	305.1564332	355.7144275
0610031J06Rik	0	0	0	0	0	0	0	0
0610031O16Rik	3626.611125	3723.548976	3105.916584	2254.516572	3950.801573	3772.995797	4133.731027	3934.255059
0610037L13Rik	365.4477511	307.2450876	362.6150779	350.6246612	363.1447782	338.4899555	450.9027894	405.6392594
0610038B21Rik	0	1.307425905	0.911093161	0	0	0.972672286	0	0
0610039K10Rik	0	0	0	0	0	0	0	0
0610040B10Rik	328.8233578	380.4609382	399.0588043	488.537028	325.7622275	288.8836689	296.9582007	287.0677836
0610040F04Rik	106.6884502	92.82723923	77.44291865	77.13742547	122.8283809	82.67714429	149.3900151	164.9302483
0610040J01Rik	0	0	0	0	0	0	0	0
0610043K17Rik	0	0	0	0	0	0	0	0
1010001N08Rik	117.0388223	118.9757573	178.5742595	218.5560388	162.3470773	156.600238	141.1917825	171.1708523
1100001G20Rik	9077.276276	9503.6789	9108.198326	8391.616892	11325.84479	11281.05317	10240.50335	10850.62731
1110001J03Rik	14.33128436	10.45940724	16.39967689	25.71247516	11.74880165	16.53542886	4.55457363	9.806663414
1110002L01Rik	0	0	0	0	0	0	0	0
1110004E09Rik	2277.081848	2324.603258	1652.722993	1691.179616	1752.707591	1554.330313	1369.104833	1414.834076
1110004F10Rik	0	0	0	0	0	0	0	0
1110006O24Rik	42.99385307	30.07079581	27.33279482	35.06246612	33.11025919	26.26215172	23.68378288	30.3115051
1110007C09Rik	752.3924288	670.709489	796.2954223	816.9554606	771.1486173	662.3898266	633.9966493	638.3246368
1110008F13Rik	193.4723388	211.8029965	11.84421109	7.012493224	12.81687453	8.754050572	23.68378288	20.50484168
1110008L16Rik	411.6263341	434.0654003	491.9903067	448.7995663	662.2051838	759.6570552	622.1547579	666.8531121
